Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
CM062267.1	22912449	22916736	4	minus	High-affinity potassium transport protein		0	protein-coding		KAK1897815.1	107	KUDE01_017346
CM062267.1	22940586	22942460	4	plus	putative protein kinase UbiB		0	protein-coding		KAK1898619.1	624	KUDE01_018143
CM062267.1	22950828	22952035	4	minus	Transcription factor HES-4-B		0	protein-coding		KAK1899101.1	288	KUDE01_018623
CM062267.1	22988867	22989664	4	plus	Forkhead box protein L2		0	protein-coding		KAK1898670.1	265	KUDE01_018194
CM062267.1	22992628	23003240	4	plus	Transmembrane protein 201		0	protein-coding		KAK1898448.1	622	KUDE01_017972
CM062267.1	23008491	23008793	4	plus	Crossover junction endodeoxyribonuclease RuvC		0	protein-coding		KAK1898639.1	100	KUDE01_018163
CM062267.1	23009979	23023339	4	plus	Phosphatidylinositol 45-bisphosphate 3-kinase catalytic subunit delta isoform		0	protein-coding		KAK1899159.1	860	KUDE01_018681
CM062267.1	23026607	23027011	4	minus	Lamin-like protein		0	protein-coding		KAK1899123.1	134	KUDE01_018645
CM062267.1	23028153	23029700	4	plus	Phosphatidylinositol 45-bisphosphate 3-kinase catalytic subunit delta isoform		0	protein-coding		KAK1899149.1	205	KUDE01_018671
CM062267.1	23036974	23039176	4	plus	Phosphatidylinositol 45-bisphosphate 3-kinase catalytic subunit delta isoform		0	protein-coding		KAK1899289.1	184	KUDE01_018810
CM062267.1	23124271	23125586	4	minus	Protein LZIC		0	protein-coding		KAK1898987.1	189	KUDE01_018509
CM062267.1	23126475	23132548	4	plus	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1		0	protein-coding		KAK1898242.1	271	KUDE01_017767
CM062267.1	23134073	23136076	4	plus	Retinoid-binding protein 7		0	protein-coding		KAK1898982.1	137	KUDE01_018504
CM062267.1	23137153	23155135	4	plus	Ubiquitin conjugation factor E4 B		0	protein-coding		KAK1898642.1	1404	KUDE01_018166
CM062267.1	23158698	23188557	4	plus	Kinesin-like protein KIF1B		0	protein-coding		KAK1898654.1	701	KUDE01_018178
CM062267.1	23188656	23190008	4	plus	Kinesin-like protein KIF1C		0	protein-coding		KAK1898517.1	450	KUDE01_018041
CM062267.1	23194339	23212838	4	plus	Kinesin-like protein KIF1B		0	protein-coding		KAK1898146.1	1188	KUDE01_017672
CM062267.1	23217042	23223341	4	plus	6-phosphogluconate dehydrogenase decarboxylating		0	protein-coding		KAK1898991.1	506	KUDE01_018513
CM062267.1	23225674	23227821	4	plus	TAR DNA-binding protein 43		0	protein-coding		KAK1897791.1	396	KUDE01_017322
CM062267.1	23233368	23235024	4	plus	putative protein C1orf127		0	protein-coding		KAK1897733.1	196	KUDE01_017264
CM062267.1	23235204	23237963	4	plus	putative protein C1orf127		0	protein-coding		KAK1898382.1	291	KUDE01_017906
CM062267.1	23409894	23439949	4	plus	Zinc finger protein castor like 1		0	protein-coding		KAK1898284.1	1976	KUDE01_017808
CM062267.1	23456388	23481129	4	minus	Peroxisomal membrane protein PEX14		0	protein-coding		KAK1899049.1	355	KUDE01_018571
CM062267.1	23502420	23505769	4	plus	DNA fragmentation factor subunit alpha		0	protein-coding		KAK1898072.1	270	KUDE01_017600
CM062267.1	23509332	23513232	4	minus	Mannan-binding lectin serine protease 1		0	protein-coding		KAK1898734.1	278	KUDE01_018258
CM062267.1	23534866	23535579	4	minus	Somatostatin-2		0	protein-coding		KAK1899117.1	110	KUDE01_018639
CM062267.1	23543424	23587101	4	minus	Contactin-3		0	protein-coding		KAK1898183.1	1753	KUDE01_017709
CM062267.1	23625022	23657942	4	plus	Neural cell adhesion molecule L1-like protein		0	protein-coding		KAK1898392.1	1252	KUDE01_017916
CM062267.1	23711173	23717753	4	minus	putative cation-transporting ATPase 13A4		0	protein-coding		KAK1899281.1	80	KUDE01_018802
CM062267.1	23719354	23764251	4	plus	Contactin-3		0	protein-coding		KAK1899322.1	408	KUDE01_018842
CM062267.1	23800690	23829406	4	minus	Band 4.1-like protein 1		0	protein-coding		KAK1898869.1	855	KUDE01_018392
CM062267.1	23860314	23864713	4	minus	Endothelin-3		0	protein-coding		KAK1898691.1	166	KUDE01_018215
CM062267.1	23871905	23875931	4	plus	putative tubulin polyglutamylase TTLL9		0	protein-coding		KAK1898379.1	435	KUDE01_017903
CM062267.1	23877610	23879713	4	minus	Protein FAM217B		0	protein-coding		KAK1898019.1	563	KUDE01_017547
CM062267.1	23883537	23884067	4	plus	Synaptonemal complex protein 2		0	protein-coding		KAK1898567.1	103	KUDE01_018091
CM062267.1	23884142	23906635	4	plus	Synaptonemal complex protein 2		0	protein-coding		KAK1898688.1	1430	KUDE01_018212
CM062267.1	23907663	23937381	4	minus	Phosphatase and actin regulator 3		0	protein-coding		KAK1898416.1	489	KUDE01_017940
CM062267.1	23938432	23945002	4	plus	GPI transamidase component PIG-T		0	protein-coding		KAK1898058.1	619	KUDE01_017586
CM062267.1	23946754	23948108	4	minus	Whey acidic protein		0	protein-coding		KAK1897883.1	171	KUDE01_017412
CM062267.1	24034756	24055978	4	plus	TOX high mobility group box family member 2		0	protein-coding		KAK1899293.1	301	KUDE01_018814
CM062267.1	24063158	24072476	4	minus	Large neutral amino acids transporter small subunit 1		0	protein-coding		KAK1899148.1	526	KUDE01_018670
CM062267.1	24079973	24100455	4	minus	N-terminal EF-hand calcium-binding protein 1		0	protein-coding		KAK1898890.1	376	KUDE01_018413
CM062267.1	24105494	24113802	4	plus	5-aminolevulinate synthase erythroid-specific mitochondrial		0	protein-coding		KAK1898971.1	589	KUDE01_018493
CM062267.1	24114445	24119458	4	minus	Tetratricopeptide repeat protein 34		0	protein-coding		KAK1897798.1	1106	KUDE01_017329
CM062267.1	24122355	24130572	4	minus	Tumor necrosis factor receptor superfamily member 1A		0	protein-coding		KAK1899252.1	383	KUDE01_018773
CM062267.1	24134079	24139706	4	plus	Zinc finger protein 362		0	protein-coding		KAK1899302.1	440	KUDE01_018823
CM062267.1	24143661	24160110	4	minus	Coiled-coil domain containing protein 30		0	protein-coding		KAK1898527.1	1279	KUDE01_018051
CM062267.1	24162107	24165409	4	plus	Epithelial membrane protein 3		0	protein-coding		KAK1899109.1	165	KUDE01_018631
CM062267.1	24165685	24172707	4	plus	Zinc finger MYND domain containing protein 12		0	protein-coding		KAK1898562.1	364	KUDE01_018086
CM062267.1	24177398	24192030	4	minus	Beta-citrylglutamate synthase B		0	protein-coding		KAK1898130.1	372	KUDE01_017656
CM062267.1	24206353	24206712	4	plus	Forkhead box protein J3		0	protein-coding		KAK1897931.1	120	KUDE01_017459
CM062267.1	24219552	24246972	4	plus	Forkhead box protein J3		0	protein-coding		KAK1897777.1	527	KUDE01_017308
CM062267.1	24247006	24257046	4	plus	Podoplanin		0	protein-coding		KAK1898819.1	374	KUDE01_018342
CM062267.1	24268621	24269868	4	plus	PR domain zinc finger protein 2		0	protein-coding		KAK1898523.1	415	KUDE01_018047
CM062267.1	24270645	24272697	4	plus	PR domain zinc finger protein 2		0	protein-coding		KAK1898684.1	653	KUDE01_018208
CM062267.1	24301561	24344730	4	plus	hypothetical protein		0	protein-coding		KAK1898825.1	143	KUDE01_018348
CM062267.1	24355841	24356068	4	minus	Male-specific protein scotti		0	protein-coding		KAK1898852.1	76	KUDE01_018375
CM062267.1	24363386	24363936	4	plus	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase		0	protein-coding		KAK1898175.1	84	KUDE01_017701
CM062267.1	24400095	24460880	4	plus	Kazrin		0	protein-coding		KAK1897812.1	909	KUDE01_017343
CM062267.1	24466185	24467941	4	plus	Transmembrane protein 51		0	protein-coding		KAK1897870.1	264	KUDE01_017399
CM062267.1	24471029	24476161	4	minus	Chymotrypsin-like elastase family member 2A		0	protein-coding		KAK1898036.1	256	KUDE01_017564
CM062267.1	24476518	24479700	4	minus	Chymotrypsin-C		0	protein-coding		KAK1898430.1	267	KUDE01_017954
CM062267.1	24481239	24484285	4	plus	Chymotrypsin-like elastase family member 2A		0	protein-coding		KAK1899128.1	267	KUDE01_018650
CM062267.1	24563092	24579449	4	plus	UPF0235 protein		0	protein-coding		KAK1898335.1	229	KUDE01_017859
CM062267.1	24598974	24653660	4	plus	Histone-lysine N-methyltransferase PRDM16		0	protein-coding		KAK1899055.1	306	KUDE01_018577
CM062267.1	24698024	24708715	4	plus	Histone-lysine N-methyltransferase PRDM16		0	protein-coding		KAK1898081.1	526	KUDE01_017609
CM062267.1	24708745	24718426	4	plus	Histone-lysine N-methyltransferase PRDM16		0	protein-coding		KAK1898270.1	681	KUDE01_017794
CM062267.1	24733191	24735508	4	minus	Complement C1q-like protein 4		0	protein-coding		KAK1899029.1	314	KUDE01_018551
CM062267.1	24745118	24748354	4	plus	Tumor protein p63-regulated 1-like protein		0	protein-coding		KAK1898069.1	279	KUDE01_017597
CM062267.1	24750367	24763803	4	minus	WD repeat-containing protein WRAP73		0	protein-coding		KAK1899043.1	442	KUDE01_018565
CM062267.1	24767730	24768794	4	plus	Tumor protein p73		0	protein-coding		KAK1898851.1	75	KUDE01_018374
CM062267.1	24774467	24788288	4	plus	Tumor protein p73		0	protein-coding		KAK1898725.1	608	KUDE01_018249
CM062267.1	24822017	24824939	4	plus	Protein RER1		0	protein-coding		KAK1898454.1	195	KUDE01_017978
CM062267.1	24829520	24834679	4	plus	Taste receptor type 1 member 1		0	protein-coding		KAK1898667.1	790	KUDE01_018191
CM062267.1	24837852	24840462	4	plus	Taste receptor type 1 member 2		0	protein-coding		KAK1899178.1	330	KUDE01_018700
CM062267.1	24851033	24863952	4	plus	Taste receptor type 1 member 1		0	protein-coding		KAK1898661.1	597	KUDE01_018185
CM062267.1	24871174	24872207	4	plus	Transcription factor HES-1-A		0	protein-coding		KAK1898917.1	233	KUDE01_018440
CM062267.1	24878589	24893844	4	minus	putative G-protein coupled receptor 153		0	protein-coding		KAK1898808.1	674	KUDE01_018331
CM062267.1	24931626	24956922	4	minus	Cytosolic acyl coenzyme A thioester hydrolase		0	protein-coding		KAK1897728.1	227	KUDE01_017259
CM062267.1	24964914	24965850	4	minus	Transcription factor HES-2		0	protein-coding		KAK1898262.1	201	KUDE01_017786
CM062267.1	24977734	24978557	4	minus	Transcription factor HES-2		0	protein-coding		KAK1899247.1	202	KUDE01_018768
CM062267.1	24991739	25023636	4	plus	Espin		0	protein-coding		KAK1897822.1	1363	KUDE01_017353
CM062267.1	25033275	25034114	4	plus	putative cell division protein WhiA		0	protein-coding		KAK1898367.1	247	KUDE01_017891
CM062267.1	25037767	25049296	4	plus	Rho guanine nucleotide exchange factor 16		0	protein-coding		KAK1899210.1	696	KUDE01_018732
CM062267.1	25049297	25053941	4	minus	Y-box-binding protein 1		0	protein-coding		KAK1898087.1	304	KUDE01_017615
CM062267.1	25055849	25066406	4	minus	Peptidyl-prolyl cis-trans isomerase H		0	protein-coding		KAK1898312.1	177	KUDE01_017836
CM062267.1	25066934	25070273	4	minus	Transcription initiation factor TFIID subunit 10		0	protein-coding		KAK1898751.1	185	KUDE01_018275
CM062267.1	25072138	25078343	4	plus	putative oxidoreductase YteT		0	protein-coding		KAK1898611.1	428	KUDE01_018135
CM062267.1	25078695	25082757	4	minus	Coiled-coil domain containing protein 114		0	protein-coding		KAK1898806.1	364	KUDE01_018329
CM062267.1	25082793	25083947	4	minus	Coiled-coil domain containing protein 63		0	protein-coding		KAK1898350.1	134	KUDE01_017874
CM062267.1	25097973	25100873	4	plus	ERBB receptor feedback inhibitor 1		0	protein-coding		KAK1898999.1	402	KUDE01_018521
CM062267.1	25103306	25113886	4	minus	ER membrane protein complex subunit 1		0	protein-coding		KAK1898528.1	925	KUDE01_018052
CM062267.1	25114874	25159996	4	plus	E3 ubiquitin-protein ligase UBR4		0	protein-coding		KAK1898672.1	4841	KUDE01_018196
CM062267.1	25161084	25161895	4	minus	Indoleacetamide hydrolase		0	protein-coding		KAK1898194.1	86	KUDE01_017720
CM062267.1	25164367	25164954	4	plus	Transcription factor HES-5		0	protein-coding		KAK1899078.1	158	KUDE01_018600
CM062267.1	25169496	25170066	4	plus	Transcription factor HES-5		0	protein-coding		KAK1899024.1	153	KUDE01_018546
CM062267.1	25172113	25172662	4	minus	Transcription factor HES-5		0	protein-coding		KAK1898304.1	143	KUDE01_017828
CM062267.1	25175405	25179977	4	minus	Taste receptor type 1 member 1		0	protein-coding		KAK1897762.1	813	KUDE01_017293
CM062267.1	25181430	25186917	4	plus	Regulation of nuclear pre-mRNA domain containing protein 1B		0	protein-coding		KAK1898429.1	295	KUDE01_017953
CM062267.1	25189356	25193209	4	plus	Kelch-like protein 10		0	protein-coding		KAK1898907.1	573	KUDE01_018430
CM062267.1	25202369	25245004	4	minus	Pleckstrin like domain containing family G member 4B		0	protein-coding		KAK1899171.1	2107	KUDE01_018693
CM062267.1	25247042	25262766	4	minus	Kinesin heavy chain isoform 5A		0	protein-coding		KAK1898519.1	1042	KUDE01_018043
CM062267.1	25263222	25263542	4	plus	Cysteine--tRNA ligase		0	protein-coding		KAK1899325.1	106	KUDE01_018845
CM062267.1	25272197	25278505	4	minus	Methyl-CpG-binding domain protein 5		0	protein-coding		KAK1898582.1	814	KUDE01_018106
CM062267.1	25284593	25288831	4	plus	SH3 and cysteine-rich domain containing protein 3		0	protein-coding		KAK1897951.1	314	KUDE01_017479
CM062267.1	25293011	25298994	4	plus	Neurexophilin-4		0	protein-coding		KAK1898787.1	302	KUDE01_018311
CM062267.1	25299625	25307398	4	plus	Serine hydroxymethyltransferase mitochondrial		0	protein-coding		KAK1897725.1	473	KUDE01_017256
CM062267.1	25311516	25318252	4	minus	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2		0	protein-coding		KAK1897720.1	82	KUDE01_017251
CM062267.1	25323438	25328129	4	minus	Actin-related protein 5		0	protein-coding		KAK1898726.1	620	KUDE01_018250
CM062267.1	25337428	25339721	4	plus	Vesicular inhibitory amino acid transporter		0	protein-coding		KAK1898387.1	519	KUDE01_017911
CM062267.1	25341624	25350450	4	plus	Lipopolysaccharide-binding protein		0	protein-coding		KAK1899063.1	426	KUDE01_018585
CM062267.1	25352782	25358231	4	minus	PRELI domain containing protein 3B		0	protein-coding		KAK1899145.1	193	KUDE01_018667
CM062267.1	25361607	25389998	4	minus	Piezo-type mechanosensitive ion channel component 2		0	protein-coding		KAK1898996.1	2464	KUDE01_018518
CM062267.1	25404111	25423403	4	plus	Guanine nucleotide-binding protein G(s) subunit alpha		0	protein-coding		KAK1898083.1	379	KUDE01_017611
CM062267.1	25427696	25436800	4	plus	Vesicle-associated membrane protein-associated protein B		0	protein-coding		KAK1899129.1	182	KUDE01_018651
CM062267.1	25439536	25445866	4	plus	Charged multivesicular body protein 4b		0	protein-coding		KAK1897845.1	223	KUDE01_017376
CM062267.1	25447274	25452819	4	plus	Eukaryotic translation initiation factor 2 subunit 2		0	protein-coding		KAK1897852.1	332	KUDE01_017383
CM062267.1	25454422	25457921	4	plus	Serine/arginine-rich splicing factor 6		0	protein-coding		KAK1897865.1	368	KUDE01_017394
CM062267.1	25514083	25520454	4	plus	Myb-related protein B		0	protein-coding		KAK1899138.1	750	KUDE01_018660
CM062267.1	25520565	25520858	4	plus	Zinc finger BED domain containing protein 1		0	protein-coding		KAK1899183.1	97	KUDE01_018705
CM062267.1	25522765	25526078	4	plus	putative 28S rRNA (cytosine-C(5))-methyltransferase		0	protein-coding		KAK1898289.1	470	KUDE01_017813
CM062267.1	25526422	25526913	4	plus	putative oxidoreductase YcsN		0	protein-coding		KAK1898251.1	96	KUDE01_017776
CM062267.1	25527951	25528827	4	minus	NAD-dependent protein deacetylase 1		0	protein-coding		KAK1898536.1	198	KUDE01_018060
CM062267.1	25528933	25529145	4	minus	putative protein C12orf29 like		0	protein-coding		KAK1898841.1	70	KUDE01_018364
CM062267.1	25529952	25532964	4	plus	putative oxidoreductase chloroplastic		0	protein-coding		KAK1899038.1	232	KUDE01_018560
CM062267.1	25537540	25552433	4	minus	Transketolase		0	protein-coding		KAK1899199.1	614	KUDE01_018721
CM062267.1	25557554	25565417	4	minus	mRNA-decapping enzyme 1A		0	protein-coding		KAK1898173.1	498	KUDE01_017699
CM062267.1	25567243	25570877	4	plus	Voltage-dependent L-type calcium channel subunit alpha-1D		0	protein-coding		KAK1897753.1	210	KUDE01_017284
CM062267.1	25578414	25579214	4	minus	Secreted RxLR effector protein 78		0	protein-coding		KAK1898023.1	266	KUDE01_017551
CM062267.1	25579369	25581001	4	minus	LINE-1 retrotransposable element ORF2 protein		0	protein-coding		KAK1898617.1	304	KUDE01_018141
CM062267.1	25604989	25656207	4	plus	Voltage-dependent L-type calcium channel subunit alpha-1D		0	protein-coding		KAK1898964.1	1992	KUDE01_018486
CM062267.1	25661476	25670915	4	minus	Choline dehydrogenase mitochondrial		0	protein-coding		KAK1899083.1	605	KUDE01_018605
CM062267.1	25672674	25683868	4	plus	Actin-related protein 8		0	protein-coding		KAK1898209.1	835	KUDE01_017735
CM062267.1	25688287	25688805	4	minus	Kynureninase 1		0	protein-coding		KAK1897935.1	172	KUDE01_017463
CM062267.1	25785335	25785853	4	plus	Kynureninase 1		0	protein-coding		KAK1898109.1	172	KUDE01_017636
CM062267.1	25788320	25788838	4	minus	Kynureninase 1		0	protein-coding		KAK1898955.1	172	KUDE01_018477
CM062267.1	25830203	25836430	4	plus	Stonustoxin subunit alpha		0	protein-coding		KAK1897847.1	736	KUDE01_017378
CM062267.1	25890557	25898293	4	minus	putative transport protein MmpL1		0	protein-coding		KAK1898154.1	151	KUDE01_017680
CM062267.1	25910216	25926219	4	plus	Semaphorin-3G		0	protein-coding		KAK1898212.1	130	KUDE01_017738
CM062267.1	25971791	25991906	4	minus	Semaphorin-3A		0	protein-coding		KAK1897766.1	715	KUDE01_017297
CM062267.1	26029337	26030938	4	minus	Krueppel-like factor 8		0	protein-coding		KAK1899203.1	533	KUDE01_018725
CM062267.1	26069627	26081072	4	minus	Ribosome biogenesis protein rlp24		0	protein-coding		KAK1898634.1	107	KUDE01_018158
CM062267.1	26111764	26122586	4	minus	Acylamino-acid-releasing enzyme		0	protein-coding		KAK1898561.1	663	KUDE01_018085
CM062267.1	26125270	26134970	4	minus	Interferon-related developmental regulator 1		0	protein-coding		KAK1899086.1	416	KUDE01_018608
CM062267.1	26136886	26143275	4	minus	Aminomethyltransferase mitochondrial		0	protein-coding		KAK1898308.1	418	KUDE01_017832
CM062267.1	26145800	26147519	4	plus	Transmembrane and coiled-coil domains protein 1		0	protein-coding		KAK1899142.1	136	KUDE01_018664
CM062267.1	26148296	26148773	4	minus	Hyaluronidase-2		0	protein-coding		KAK1898486.1	134	KUDE01_018010
CM062267.1	26161017	26184462	4	minus	cAMP-dependent protein kinase type II-alpha regulatory subunit		0	protein-coding		KAK1899180.1	362	KUDE01_018702
CM062267.1	26204406	26204655	4	minus	cAMP-dependent protein kinase type II-alpha regulatory subunit		0	protein-coding		KAK1899125.1	83	KUDE01_018647
CM062267.1	26214557	26245785	4	minus	Monoglyceride lipase		0	protein-coding		KAK1898720.1	388	KUDE01_018244
CM062267.1	26249632	26268414	4	minus	Solute carrier family 26 member 6		0	protein-coding		KAK1897738.1	713	KUDE01_017269
CM062267.1	26273778	26286017	4	minus	Prestin		0	protein-coding		KAK1898752.1	608	KUDE01_018276
CM062267.1	26287543	26291037	4	minus	Immunoglobulin A1 protease		0	protein-coding		KAK1898920.1	148	KUDE01_018443
CM062267.1	26294126	26299475	4	minus	WD repeat-containing protein 6		0	protein-coding		KAK1897889.1	1124	KUDE01_017417
CM062267.1	26300378	26304218	4	plus	tRNA-specific 2-thiouridylase MnmA		0	protein-coding		KAK1898820.1	193	KUDE01_018343
CM062267.1	26308175	26315105	4	minus	Cadherin EGF LAG seven-pass G-type receptor 3		0	protein-coding		KAK1898995.1	777	KUDE01_018517
CM062267.1	26381861	26386389	4	minus	Cadherin EGF LAG seven-pass G-type receptor 3		0	protein-coding		KAK1899310.1	240	KUDE01_018830
CM062267.1	26388733	26412486	4	minus	Cadherin EGF LAG seven-pass G-type receptor 3		0	protein-coding		KAK1898436.1	1439	KUDE01_017960
CM062267.1	26444515	26455056	4	minus	DALR anticodon-binding domain containing protein 3		0	protein-coding		KAK1898460.1	526	KUDE01_017984
CM062267.1	26464830	26476619	4	minus	Inosine-5'-monophosphate dehydrogenase 2		0	protein-coding		KAK1899002.1	514	KUDE01_018524
CM062267.1	26480717	26489798	4	minus	E3 ubiquitin-protein ligase ARIH2		0	protein-coding		KAK1897727.1	499	KUDE01_017258
CM062267.1	26494340	26509276	4	minus	DNA repair protein complementing XP-C cell		0	protein-coding		KAK1898203.1	878	KUDE01_017729
CM062267.1	26572214	26578850	4	plus	Hyaluronidase-2		0	protein-coding		KAK1898762.1	538	KUDE01_018286
CM062267.1	26583168	26588657	4	minus	BLOC-1-related complex subunit 6		0	protein-coding		KAK1898400.1	348	KUDE01_017924
CM062267.1	26599674	26610691	4	minus	Semaphorin-3A		0	protein-coding		KAK1899068.1	507	KUDE01_018590
CM062267.1	26616981	26622850	4	plus	General transcription factor II-I repeat domain containing protein 2		0	protein-coding		KAK1897709.1	76	KUDE01_017240
CM062267.1	26646028	26674736	4	minus	Semaphorin-3F		0	protein-coding		KAK1897911.1	85	KUDE01_017439
CM062267.1	26685322	26690248	4	minus	Rho-related GTP-binding protein RhoA-B		0	protein-coding		KAK1898544.1	229	KUDE01_018068
CM062267.1	26716111	26737688	4	minus	Helicase ARIP4		0	protein-coding		KAK1898718.1	1433	KUDE01_018242
CM062267.1	26755931	26766129	4	plus	Phospholipase D1		0	protein-coding		KAK1897885.1	69	KUDE01_017413
CM062267.1	26813185	26813887	4	plus	Protein kinase C-like		0	protein-coding		KAK1898930.1	97	KUDE01_018453
CM062267.1	26823487	26823759	4	minus	Anhydro-N-acetylmuramic acid kinase		0	protein-coding		KAK1897780.1	90	KUDE01_017311
CM062267.1	26847909	26886621	4	plus	Protein bassoon		0	protein-coding		KAK1898061.1	599	KUDE01_017589
CM062267.1	26978399	26989408	4	minus	Oxysterol-binding protein-related protein 2		0	protein-coding		KAK1899094.1	454	KUDE01_018616
CM062267.1	27008977	27099206	4	plus	Protein SOGA1		0	protein-coding		KAK1898977.1	964	KUDE01_018499
CM062267.1	27198446	27203992	4	minus	DnaJ like subfamily C member 16		0	protein-coding		KAK1899121.1	753	KUDE01_018643
CM062267.1	27204988	27208854	4	plus	Caspase-9		0	protein-coding		KAK1898826.1	435	KUDE01_018349
CM062267.1	27215679	27218130	4	plus	L-rhamnose-binding lectin SML		0	protein-coding		KAK1897960.1	227	KUDE01_017488
CM062267.1	27222218	27234177	4	plus	Galactose-specific lectin nattectin		0	protein-coding		KAK1899236.1	143	KUDE01_018757
CM062267.1	27237587	27245577	4	plus	Zinc finger BED domain containing protein 1		0	protein-coding		KAK1898372.1	287	KUDE01_017896
CM062267.1	27246622	27257095	4	minus	Leucine-rich repeat-containing protein 47		0	protein-coding		KAK1897898.1	157	KUDE01_017426
CM062267.1	27293234	27298004	4	minus	Leucine-rich repeat-containing protein 47		0	protein-coding		KAK1898622.1	556	KUDE01_018146
CM062267.1	27299970	27336257	4	plus	Centrosomal protein of 104 kDa		0	protein-coding		KAK1898149.1	943	KUDE01_017675
CM062267.1	27338625	27339860	4	minus	UDP-GlcNAc:betaGal beta-13-N-acetylglucosaminyltransferase 7		0	protein-coding		KAK1898267.1	411	KUDE01_017791
CM062267.1	27346851	27349274	4	plus	UPF0688 protein		0	protein-coding		KAK1899152.1	194	KUDE01_018674
CM062267.1	27349599	27354387	4	minus	DNA fragmentation factor subunit beta		0	protein-coding		KAK1898518.1	344	KUDE01_018042
CM062267.1	27355554	27356467	4	plus	Nephrocystin-4		0	protein-coding		KAK1898171.1	119	KUDE01_017697
CM062267.1	27375496	27413152	4	plus	Nephrocystin-4		0	protein-coding		KAK1899090.1	347	KUDE01_018612
CM062267.1	27413232	27447551	4	plus	Nephrocystin-4		0	protein-coding		KAK1899181.1	313	KUDE01_018703
CM062267.1	27463303	27525561	4	plus	Nephrocystin-4		0	protein-coding		KAK1899075.1	978	KUDE01_018597
CM062267.1	27721473	27721961	4	minus	Occludin		0	protein-coding		KAK1898782.1	162	KUDE01_018306
CM062267.1	27747773	27749383	4	plus	Presequence translocated-associated motor subunit PAM17 mitochondrial		0	protein-coding		KAK1898989.1	289	KUDE01_018511
CM062267.1	27765913	27768597	4	minus	Protein FAM200B		0	protein-coding		KAK1898498.1	387	KUDE01_018022
CM062267.1	27921158	27955411	4	minus	Adherens junction-associated protein 1		0	protein-coding		KAK1898881.1	490	KUDE01_018404
CM062267.1	28081931	28085485	4	minus	Transmembrane protein 26		0	protein-coding		KAK1897994.1	300	KUDE01_017522
CM062267.1	28093743	28104168	4	minus	Gamma-aminobutyric acid receptor subunit delta		0	protein-coding		KAK1898552.1	427	KUDE01_018076
CM062267.1	28118822	28141550	4	plus	General transcription factor II-I repeat domain containing protein 2A		0	protein-coding		KAK1898705.1	1120	KUDE01_018229
CM062267.1	28145048	28175155	4	plus	Cilia- and flagella-associated protein 74		0	protein-coding		KAK1898268.1	550	KUDE01_017792
CM062267.1	28197434	28232939	4	plus	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1		0	protein-coding		KAK1898717.1	340	KUDE01_018241
CM062267.1	28216299	28217960	4	plus	Non-structural polyprotein pORF1		0	protein-coding		KAK1898385.1	108	KUDE01_017909
CM062267.1	28235589	28255178	4	plus	NAD kinase		0	protein-coding		KAK1898526.1	434	KUDE01_018050
CM062267.1	28285948	28291693	4	plus	Solute carrier family 35 member E2A		0	protein-coding		KAK1898887.1	340	KUDE01_018410
CM062267.1	28295341	28301705	4	minus	Solute carrier family 25 member 45		0	protein-coding		KAK1898291.1	285	KUDE01_017815
CM062267.1	28304752	28308881	4	plus	Mitotic spindle assembly checkpoint protein MAD2B		0	protein-coding		KAK1899251.1	210	KUDE01_018772
CM062267.1	28312038	28315640	4	plus	Transmembrane protein 82		0	protein-coding		KAK1898424.1	215	KUDE01_017948
CM062267.1	28317943	28341327	4	plus	Msx2-interacting protein		0	protein-coding		KAK1898592.1	3478	KUDE01_018116
CM062267.1	28368972	28391641	4	plus	Ephrin type-A receptor 2		0	protein-coding		KAK1899069.1	1035	KUDE01_018591
CM062267.1	28418263	28420463	4	plus	Protein FAM131C		0	protein-coding		KAK1898184.1	152	KUDE01_017710
CM062267.1	28458664	28462154	4	plus	Heat shock protein beta-7		0	protein-coding		KAK1899070.1	156	KUDE01_018592
CM062267.1	28465609	28476529	4	plus	Zinc finger and BTB domain containing protein 17		0	protein-coding		KAK1898682.1	810	KUDE01_018206
CM062267.1	28477057	28481793	4	plus	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit		0	protein-coding		KAK1898003.1	466	KUDE01_017531
CM062267.1	28483229	28499916	4	plus	Pleckstrin like domain containing family M member 2		0	protein-coding		KAK1898097.1	890	KUDE01_017624
CM062267.1	28509603	28538931	4	plus	Anoctamin-7		0	protein-coding		KAK1899141.1	931	KUDE01_018663
CM062267.1	28551951	28564634	4	plus	Rho guanine nucleotide exchange factor 19		0	protein-coding		KAK1898828.1	973	KUDE01_018351
CM062267.1	28568648	28573517	4	minus	Rho guanine nucleotide exchange factor 6		0	protein-coding		KAK1898729.1	324	KUDE01_018253
CM062267.1	28574984	28577377	4	plus	Argininosuccinate synthase chloroplastic		0	protein-coding		KAK1897942.1	66	KUDE01_017470
CM062267.1	28578318	28586009	4	minus	Protein polyglycylase TTLL10		0	protein-coding		KAK1899108.1	642	KUDE01_018630
CM062267.1	28663820	28664378	4	plus	Chorismate pyruvate-lyase		0	protein-coding		KAK1898230.1	111	KUDE01_017755
